timestamp,raw,buttons,analogs
2026-05-16T12:25:20.307,01024800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,72,0,0"
2026-05-16T12:25:20.307,01024900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,73,0,0"
2026-05-16T12:25:20.307,01024a00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,74,0,0"
2026-05-16T12:25:20.307,01024b00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,75,0,0"
2026-05-16T12:25:20.307,01024c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,76,0,0"
2026-05-16T12:25:20.307,01024d00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,77,0,0"
2026-05-16T12:25:20.307,01024e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,78,0,0"
2026-05-16T12:25:20.307,01024f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,79,0,0"
2026-05-16T12:25:20.307,01025000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,80,0,0"
2026-05-16T12:25:20.307,01025100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,81,0,0"
2026-05-16T12:25:20.307,01025200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,82,0,0"
2026-05-16T12:25:20.307,01025300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,83,0,0"
2026-05-16T12:25:20.307,01025400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,"1,0,0,0","2,84,0,0"
