timestamp,raw,first6,event_type,event_target,event_value,buttons,analogs
2026-05-16T12:51:53.434,01007600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010076,dial,Dial 1,118,"1,0,0,0","118,0,0,0"
2026-05-16T12:51:53.434,01007500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010075,dial,Dial 1,117,"1,0,0,0","117,0,0,0"
2026-05-16T12:51:53.434,01007400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010074,dial,Dial 1,116,"1,0,0,0","116,0,0,0"
2026-05-16T12:51:53.434,01007300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010073,dial,Dial 1,115,"1,0,0,0","115,0,0,0"
2026-05-16T12:51:53.434,01007200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010072,dial,Dial 1,114,"1,0,0,0","114,0,0,0"
2026-05-16T12:51:53.434,01007100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010071,dial,Dial 1,113,"1,0,0,0","113,0,0,0"
2026-05-16T12:51:53.434,01007000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,010070,dial,Dial 1,112,"1,0,0,0","112,0,0,0"
2026-05-16T12:51:53.434,01006f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01006f,dial,Dial 1,111,"1,0,0,0","111,0,0,0"
2026-05-16T12:51:53.434,01006e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01006e,dial,Dial 1,110,"1,0,0,0","110,0,0,0"
2026-05-16T12:51:53.434,01006d00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01006d,dial,Dial 1,109,"1,0,0,0","109,0,0,0"
2026-05-16T12:51:53.434,01006c00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,01006c,dial,Dial 1,108,"1,0,0,0","108,0,0,0"
